Name,Type,Wine,Region,Country,Winery,Regional Name,Varietal Name,Year,Rating,Price,Currency,Bottle Type
Château de Lavagnac Bordeaux 2015,RED,Bordeaux,Bordeaux,France,Château de Lavagnac,Bordeaux,Red,2015,3.6,4.1,EUR,1/2 Bottle (0.375 l)
Château de Callac Graves Rouge 2011,RED,Graves Rouge,Graves,France,Château de Callac,Bordeaux Left Bank,Graves Red,2011,3.6,4.5,EUR,1/2 Bottle (0.375 l)
Piscine Rosé,ROSE,Rosé,South West France,France,Piscine,Southwest France,Rosé,N.V.,4.0,4.5,EUR,Bottle (0.75l)
Vinovalie Les Blousons Noirs Malbec 2020,RED,Les Blousons Noirs Malbec,Cahors,France,Vinovalie,Southwest France,Malbec,2020,3.6,4.5,EUR,Bottle (0.75l)
Les Hauts de Palette Chateau du Barail Bordeaux 2023,RED,Chateau du Barail Bordeaux,Bordeaux,France,Les Hauts de Palette,Bordeaux,Red,2023,3.3,4.6,EUR,Bottle (0.75l)
Château Lacoste Garzac Bordeaux 2022,RED,Bordeaux,Bordeaux,France,Château Lacoste Garzac,Bordeaux,Red,2022,3.4,4.67,EUR,Bottle (0.75l)
Uby No. 6 Rosé 2023,ROSE,No. 6 Rosé,Côtes de Gascogne,France,Uby,Southwest France,Rosé,2023,3.8,4.88,EUR,Bottle (0.75l)
Château Elixir de Gravaillac Bordeaux Rouge 2015,RED,Bordeaux Rouge,Bordeaux,France,Château Elixir de Gravaillac,Bordeaux,Red,2015,3.2,4.9,EUR,Bottle (0.75l)
Château Haut Bernin Bordeaux 2015,RED,Bordeaux,Bordeaux,France,Château Haut Bernin,Bordeaux,Red,2015,3.3,4.9,EUR,Bottle (0.75l)
Château La Fleur Saint-Jean Bordeaux 2009,RED,Bordeaux,Bordeaux,France,Château La Fleur Saint-Jean,Bordeaux,Red,2009,3.6,4.95,EUR,Bottle (0.75l)
Lafleur Chevalier Bordeaux 2020,RED,Bordeaux,Bordeaux,France,Lafleur Chevalier,Bordeaux,Red,2020,3.3,5.0,EUR,Bottle (0.75l)
Château Roquefort Bordeaux Rouge 2008,RED,Bordeaux Rouge,Bordeaux,France,Château Roquefort,Bordeaux,Red,2008,3.7,5.0,EUR,1/2 Bottle (0.375 l)
Les Vignerons des Albères Chardonnay 2023,WHITE,Chardonnay,Côtes Catalanes,France,Les Vignerons des Albères,Languedoc-Roussillon,White,2023,3.6,5.05,EUR,Bottle (0.75l)
Les Vignerons des Albères Malicieuse Syrah 2022,RED,Malicieuse Syrah,Côtes Catalanes,France,Les Vignerons des Albères,Languedoc-Roussillon,Red,2022,3.4,5.05,EUR,Bottle (0.75l)
Les Vignerons des Albères Muscat Sec 2023,WHITE,Muscat Sec,Côtes Catalanes,France,Les Vignerons des Albères,Languedoc-Roussillon,White,2023,3.6,5.05,EUR,Bottle (0.75l)
Vignerons Catalans 4 Saisons Cabernet Sauvignon 2021,RED,4 Saisons Cabernet Sauvignon,Pays d'Oc,France,Vignerons Catalans,Languedoc-Roussillon,Red,2021,3.4,5.1,EUR,Bottle (0.75l)
Château Mayne-Vallet Blaye - Côtes de Bordeaux 2017,RED,Blaye - Côtes de Bordeaux,Blaye - Côtes de Bordeaux,France,Château Mayne-Vallet,Bordeaux,Red,2017,3.8,5.1,EUR,Bottle (0.75l)
Château Mayne-Vallet Blaye - Côtes de Bordeaux 2019,RED,Blaye - Côtes de Bordeaux,Blaye - Côtes de Bordeaux,France,Château Mayne-Vallet,Bordeaux,Red,2019,3.5,5.1,EUR,Bottle (0.75l)
Château Reindent Bordeaux Supérieur 2016,RED,Bordeaux Supérieur,Bordeaux Supérieur,France,Château Reindent,Bordeaux,Red,2016,3.7,5.27,EUR,1/2 Bottle (0.375 l)
Marquille Bordeaux Rouge 2014,RED,Bordeaux Rouge,Bordeaux,France,Marquille,Bordeaux,Red,2014,2.7,5.4,EUR,Bottle (0.75l)
Château Mayne-Vallet Blaye - Côtes de Bordeaux 2021,RED,Blaye - Côtes de Bordeaux,Blaye - Côtes de Bordeaux,France,Château Mayne-Vallet,Bordeaux,Red,2021,3.5,5.4,EUR,Bottle (0.75l)
Arnaud de Villeneuve To Bi Or Not To Bi Macabeu - Grenache 2023,WHITE,To Bi Or Not To Bi Macabeu - Grenache,Côtes Catalanes,France,Arnaud de Villeneuve,Languedoc-Roussillon,White,2023,3.4,5.4,EUR,Bottle (0.75l)
Arnaud de Villeneuve To Bi or Not To Bi Merlot - Grenache 2022,RED,To Bi or Not To Bi Merlot - Grenache,Languedoc,France,Arnaud de Villeneuve,Languedoc-Roussillon,Red,2022,3.3,5.4,EUR,Bottle (0.75l)
Château La Galante Bordeaux Supérieur 2019,RED,Bordeaux Supérieur,Bordeaux Supérieur,France,Château La Galante,Bordeaux,Red,2019,3.6,5.45,EUR,Bottle (0.75l)
Domaine du Tariquet Côtes De Gascogne Classic 2023,WHITE,Côtes De Gascogne Classic,Côtes de Gascogne,France,Domaine du Tariquet,Côtes de Gascogne,White,2023,3.5,5.49,EUR,Bottle (0.75l)
